dataset,cell_id,condition,cycle,Tem,rate,Capacity,Var,Ske,Max,Min,Mean,Kur,capacity_norm
1,CY25-025_1-#1,CY25-025_1,1,25,0.25,3246.857666015625,4.056341978846851e-05,0.8559975599558924,4.182616710662842,4.161434650421143,4.168215002332415,-0.48210137067366876,0.9276736188616072
1,CY25-025_1-#1,CY25-025_1,2,25,0.25,3247.63720703125,4.0223291648544546e-05,0.8704114617384809,4.182498455047607,4.161355495452881,4.1680967807769775,-0.44832565610667974,0.9278963448660714
1,CY25-025_1-#1,CY25-025_1,3,25,0.25,3248.392822265625,3.802140739795644e-05,0.8832226836438454,4.182656288146973,4.162064552307129,4.16855525970459,-0.41086878494762447,0.9281122349330357
1,CY25-025_1-#1,CY25-025_1,4,25,0.25,3247.386962890625,3.876743752258774e-05,0.884440443640509,4.182852745056152,4.162024974822998,4.168591771806989,-0.39851303270495686,0.9278248465401786
1,CY25-025_1-#1,CY25-025_1,5,25,0.25,3246.083251953125,3.8336369032419633e-05,0.8814253654153619,4.182695388793945,4.1619462966918945,4.168552432741437,-0.4174336244484631,0.9274523577008928
1,CY25-025_1-#1,CY25-025_1,6,25,0.25,3245.597900390625,3.793681978949789e-05,0.8974466028830831,4.18281364440918,4.1623005867004395,4.168687377657209,-0.3919563697070436,0.9273136858258929
1,CY25-025_1-#1,CY25-025_1,7,25,0.25,3243.843505859375,3.777411149218137e-05,0.8784933690856186,4.182695388793945,4.162261486053467,4.16865645136152,-0.42284709863875936,0.9268124302455357
1,CY25-025_1-#1,CY25-025_1,8,25,0.25,3242.0400390625,3.732690369620936e-05,0.8929144491470907,4.182656288146973,4.162379264831543,4.168704237256732,-0.40634764280654556,0.9262971540178572
1,CY25-025_1-#1,CY25-025_1,9,25,0.25,3239.240966796875,3.8165693361626616e-05,0.8996722827385996,4.182577133178711,4.162024974822998,4.168414558683123,-0.3849973161588758,0.9254974190848214
1,CY25-025_1-#1,CY25-025_1,10,25,0.25,3238.405517578125,3.766177773771202e-05,0.8879426862285192,4.182774066925049,4.162221908569336,4.168726818902152,-0.40787780597257095,0.9252587193080357
1,CY25-025_1-#1,CY25-025_1,11,25,0.25,3237.940673828125,3.751082184472969e-05,0.8988010651746337,4.182656288146973,4.162182331085205,4.168625491006034,-0.39244724263070596,0.9251259068080357
1,CY25-025_1-#1,CY25-025_1,12,25,0.25,3234.80908203125,3.697501263654336e-05,0.9028971734514394,4.182695388793945,4.162418842315674,4.168726750782558,-0.3744253341102066,0.9242311662946429
1,CY25-025_1-#1,CY25-025_1,13,25,0.25,3232.5498046875,3.7002616818926484e-05,0.895384886931444,4.18281364440918,4.162497520446777,4.168867315564837,-0.3895307093234841,0.9235856584821428
1,CY25-025_1-#1,CY25-025_1,14,25,0.25,3230.43115234375,3.7081603031915465e-05,0.9053130255111937,4.182734966278076,4.162418842315674,4.168721164975848,-0.37040134673635094,0.9229803292410714
1,CY25-025_1-#1,CY25-025_1,15,25,0.25,3228.576416015625,3.701542622850836e-05,0.8848494333043797,4.182538032531738,4.162182331085205,4.168611424309867,-0.40674707920223785,0.9224504045758929
1,CY25-025_1-#1,CY25-025_1,16,25,0.25,3226.218017578125,3.6933588724643194e-05,0.9007638795846734,4.182498455047607,4.1623005867004395,4.168591771806989,-0.3983053208167422,0.9217765764508928
1,CY25-025_1-#1,CY25-025_1,17,25,0.25,3223.823974609375,3.6906756988103625e-05,0.9070214944884732,4.182616710662842,4.16234016418457,4.16865086555481,-0.3655191459650182,0.9210925641741071
1,CY25-025_1-#1,CY25-025_1,18,25,0.25,3221.956298828125,3.685171023105115e-05,0.8971755825365682,4.182695388793945,4.1624579429626465,4.168777431760516,-0.3938855247947868,0.9205589425223214
1,CY25-025_1-#1,CY25-025_1,19,25,0.25,3219.96826171875,3.676544710597827e-05,0.895145459752041,4.182538032531738,4.162182331085205,4.168614251273019,-0.3794871799788675,0.9199909319196429
1,CY25-025_1-#1,CY25-025_1,20,25,0.25,3217.804931640625,3.670872818419921e-05,0.9020110833831894,4.182459354400635,4.162221908569336,4.168552432741437,-0.37289827923313634,0.9193728376116072
1,CY25-025_1-#1,CY25-025_1,21,25,0.25,3215.624755859375,3.6650233596446924e-05,0.8985070355365892,4.182538032531738,4.162261486053467,4.168662071228027,-0.37846630589235986,0.9187499302455358
1,CY25-025_1-#1,CY25-025_1,22,25,0.25,3213.620849609375,3.6931835664860386e-05,0.9212856473307671,4.182695388793945,4.1623005867004395,4.168631110872541,-0.3256760999575543,0.9181773856026786
1,CY25-025_1-#1,CY25-025_1,23,25,0.25,3211.9423828125,3.6373718198224754e-05,0.9009794157424285,4.182538032531738,4.162418842315674,4.168673310961042,-0.37404538951387867,0.9176978236607143
1,CY25-025_1-#1,CY25-025_1,24,25,0.25,3209.571044921875,3.641839030923631e-05,0.8952328640719879,4.1823410987854,4.162143230438232,4.168521472385952,-0.3875218359592978,0.9170202985491072
1,CY25-025_1-#1,CY25-025_1,25,25,0.25,3207.314208984375,3.656264636827093e-05,0.9147291214031038,4.182538032531738,4.1623005867004395,4.168572085244315,-0.34165238083822747,0.91637548828125
1,CY25-025_1-#1,CY25-025_1,26,25,0.25,3205.3466796875,3.686011487034093e-05,0.9137668055986378,4.182656288146973,4.1623005867004395,4.168645245688302,-0.3401301865009656,0.9158133370535714
1,CY25-025_1-#1,CY25-025_1,27,25,0.25,3203.492919921875,3.6557005638404825e-05,0.9224170677265724,4.182577133178711,4.16234016418457,4.168639557702201,-0.3455905979116136,0.91528369140625
1,CY25-025_1-#1,CY25-025_1,28,25,0.25,3201.248291015625,3.654800991126239e-05,0.9167806628677706,4.182498455047607,4.1623005867004395,4.168541124888828,-0.3451661883267181,0.9146423688616071
