dataset,cell_id,condition,cycle,Tem,C_rate,D_rate,Capacity,Var,Ske,Max,Min,Mean,Kur,capacity_norm
3,CY25-05_1-#1,CY25-05_1,1,25,0.5,1.0,2487.412109375,1.289795560615028e-05,0.8331024192782714,4.195856094360352,4.18207311630249,4.1864671545513605,-0.3047906827092559,0.99496484375
3,CY25-05_1-#1,CY25-05_1,2,25,0.5,1.0,2485.742431640625,1.2573234740580769e-05,0.8788030700189774,4.195659160614014,4.1822309494018555,4.186362379688328,-0.2221503563862277,0.99429697265625
3,CY25-05_1-#1,CY25-05_1,3,25,0.5,1.0,2482.907958984375,1.2606100738927536e-05,0.8774656326776005,4.195974349975586,4.182348728179932,4.1864751476352495,-0.20971032207024054,0.99316318359375
3,CY25-05_1-#1,CY25-05_1,4,25,0.5,1.0,2480.080322265625,1.247684517116675e-05,0.8865780074873391,4.196013927459717,4.182506561279297,4.186557260610289,-0.16828203790817486,0.99203212890625
3,CY25-05_1-#1,CY25-05_1,5,25,0.5,1.0,2477.60791015625,1.2219320839921499e-05,0.8874675834823861,4.195738315582275,4.1823883056640625,4.186471793611171,-0.19467946694978044,0.9910431640625
3,CY25-05_1-#1,CY25-05_1,6,25,0.5,1.0,2475.412109375,1.2445904977618812e-05,0.9052581901059252,4.195934772491455,4.182309627532959,4.186463816691253,-0.16606257015234904,0.99016484375
3,CY25-05_1-#1,CY25-05_1,7,25,0.5,1.0,2473.12646484375,1.2562943056540942e-05,0.8969048757157279,4.1956987380981445,4.182191371917725,4.186300269627975,-0.18836119101034354,0.9892505859375
3,CY25-05_1-#1,CY25-05_1,8,25,0.5,1.0,2470.58740234375,1.2808463639903376e-05,0.9055840115207077,4.195974349975586,4.18207311630249,4.186172784385034,-0.1307418757747425,0.9882349609375
3,CY25-05_1-#1,CY25-05_1,9,25,0.5,1.0,2469.051513671875,1.2727676373029106e-05,0.9013696273165228,4.195934772491455,4.182152271270752,4.186315649646824,-0.11896133558927424,0.98762060546875
3,CY25-05_1-#1,CY25-05_1,10,25,0.5,1.0,2466.24267578125,1.2723332012251762e-05,0.8981970670547644,4.195738315582275,4.18207311630249,4.18623752109075,-0.17554666823448883,0.9864970703125
3,CY25-05_1-#1,CY25-05_1,11,25,0.5,1.0,2464.051513671875,1.266919772601644e-05,0.8889854724995602,4.195659160614014,4.182034015655518,4.1862101878150035,-0.189045370968576,0.98562060546875
3,CY25-05_1-#1,CY25-05_1,12,25,0.5,1.0,2462.384765625,1.3122058388216719e-05,0.8950269688631729,4.195738315582275,4.181915760040283,4.186104030932411,-0.15821955871949323,0.98495390625
3,CY25-05_1-#1,CY25-05_1,13,25,0.5,1.0,2459.87890625,1.3323308250134667e-05,0.9009256161075586,4.195856094360352,4.181797504425049,4.18599923182342,-0.14820349810347322,0.9839515625
3,CY25-05_1-#1,CY25-05_1,14,25,0.5,1.0,2458.024658203125,1.3333701549476678e-05,0.911225983850669,4.195895671844482,4.181718826293945,4.185959888716876,-0.12757912641407732,0.98320986328125
3,CY25-05_1-#1,CY25-05_1,15,25,0.5,1.0,2455.621826171875,1.3494049377927448e-05,0.8786879483049844,4.1956987380981445,4.181561470031738,4.185935844809322,-0.18753912295653352,0.98224873046875
3,CY25-05_1-#1,CY25-05_1,16,25,0.5,1.0,2453.788330078125,1.3511818464285873e-05,0.8829110216942757,4.195620059967041,4.181600570678711,4.185941857806707,-0.19628730994720112,0.98151533203125
3,CY25-05_1-#1,CY25-05_1,17,25,0.5,1.0,2451.777587890625,1.3925858407059762e-05,0.887770923977359,4.195659160614014,4.1813645362854,4.185795719340696,-0.20456987395964132,0.98071103515625
3,CY25-05_1-#1,CY25-05_1,18,25,0.5,1.0,2450.132080078125,1.402099588359619e-05,0.8793258062322645,4.195620059967041,4.181206703186035,4.185662196854413,-0.21067752865629163,0.98005283203125
3,CY25-05_1-#1,CY25-05_1,19,25,0.5,1.0,2448.077880859375,1.401970306970129e-05,0.8841819948049638,4.19558048248291,4.181206703186035,4.185630798339844,-0.18965171615952992,0.97923115234375
3,CY25-05_1-#1,CY25-05_1,20,25,0.5,1.0,2446.55517578125,1.4027339838508071e-05,0.8708438680439924,4.19558048248291,4.181246280670166,4.1856661893553655,-0.20895707105206585,0.9786220703125
3,CY25-05_1-#1,CY25-05_1,21,25,0.5,1.0,2444.8623046875,1.394309380461155e-05,0.896141034627017,4.195659160614014,4.181285858154297,4.185669519133487,-0.14141388177369008,0.977944921875
3,CY25-05_1-#1,CY25-05_1,22,25,0.5,1.0,2443.43359375,1.4445997509402747e-05,0.892726831225581,4.195620059967041,4.181246280670166,4.185560727523545,-0.18525202181111355,0.9773734375
3,CY25-05_1-#1,CY25-05_1,23,25,0.5,1.0,2441.57080078125,1.4395522619750829e-05,0.8753612426611431,4.195659160614014,4.181088924407959,4.185503975819733,-0.20922735245736312,0.9766283203125
3,CY25-05_1-#1,CY25-05_1,24,25,0.5,1.0,2440.91259765625,1.4598094464111248e-05,0.8808050513140383,4.195501804351807,4.180891990661621,4.185471300351417,-0.20815415647639046,0.9763650390625
3,CY25-05_1-#1,CY25-05_1,25,25,0.5,1.0,2438.861083984375,1.5024093102222328e-05,0.8643278343602999,4.1955413818359375,4.180695056915283,4.185291080151574,-0.24227475311265012,0.97554443359375
3,CY25-05_1-#1,CY25-05_1,26,25,0.5,1.0,2437.4541015625,1.5007454737311409e-05,0.8682192590430385,4.195501804351807,4.180891990661621,4.185291775202347,-0.23766833722455827,0.974981640625
3,CY25-05_1-#1,CY25-05_1,27,25,0.5,1.0,2435.437255859375,1.5069822542870298e-05,0.8866391745166993,4.195620059967041,4.180576801300049,4.185261039410607,-0.17910298580209227,0.97417490234375
3,CY25-05_1-#1,CY25-05_1,28,25,0.5,1.0,2434.10546875,1.529501569772289e-05,0.8684290207600065,4.195738315582275,4.180655479431152,4.18526768280288,-0.2034564738427096,0.9736421875
3,CY25-05_1-#1,CY25-05_1,29,25,0.5,1.0,2432.462646484375,1.5156728186980551e-05,0.8641561990128377,4.195659160614014,4.18061637878418,4.185250363107455,-0.21452140349214677,0.97298505859375
3,CY25-05_1-#1,CY25-05_1,30,25,0.5,1.0,2431.39306640625,1.5817898640199873e-05,0.8571562454259324,4.195501804351807,4.180498123168945,4.18513089519436,-0.25108035079343916,0.9725572265625
3,CY25-05_1-#1,CY25-05_1,31,25,0.5,1.0,2431.078125,1.53611891697094e-05,0.8765185976715756,4.1956987380981445,4.180537223815918,4.185182927018505,-0.19465358842634872,0.97243125
3,CY25-05_1-#1,CY25-05_1,32,25,0.5,1.0,2429.180908203125,1.566150959501173e-05,0.866364319263592,4.195620059967041,4.180419445037842,4.185082185066353,-0.21451390508516965,0.97167236328125
